    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  218,         13658,           13450,             34,      2377,         566,         25,         23653,             212,             65,     5897,       1486,        33
  219,         13828,           13619,             31,      2393,         563,         24,         23871,             213,             66,     5933,       1497,        30
  220,         13979,           13769,             32,      2194,         565,         28,         24090,             215,             59,     5975,       1505,        44
  221,         13996,           13785,             50,      2451,         581,         25,         24310,             217,             63,     6014,       1517,        32
  222,         14186,           13974,             33,      2293,         584,         25,         24531,             214,             64,     6071,       1534,        32
  223,         14331,           14118,             35,      2363,         586,         27,         24753,             216,             65,     6075,       1532,        34
  224,         14450,           14236,             34,      2391,         582,         24,         24976,             218,             64,     6111,       1542,        33
  225,         14556,           14341,             34,      2421,         591,         23,         25200,             221,             65,     6102,       1537,        33
  226,         14579,           14363,             31,      2489,         587,        142,         25425,             219,             90,     6160,       1551,        33
  227,         14687,           14470,             31,      2567,         582,         28,         25651,             224,             65,     6208,       1570,        32
  228,         14875,           14657,             34,      2429,         585,         24,         25878,             225,             66,     6241,       1577,        34
  229,         15096,           14877,             34,      2595,         580,         24,         26106,             221,             68,     6297,       1593,        33
  230,         15106,           14886,             63,      2791,         586,         28,         26335,             222,             68,     6319,       1594,        32
  231,         15206,           14985,             34,      2408,         592,         26,         26565,             225,             86,     6376,       1609,        35
  232,         15281,           15059,             36,      2505,         602,         27,         26796,             227,             73,     6400,       1619,        41
  233,         15335,           15112,             36,      2429,         600,         28,         27028,             228,             73,     6381,       1610,        35
  234,         15443,           15219,             36,      2471,         607,         26,         27261,             227,             73,     6482,       1639,        35
  235,         15531,           15306,             36,      2505,         615,         26,         27495,             230,             75,     6459,       1628,        35
  236,         15572,           15346,             36,      2537,         599,         25,         27730,             232,             75,     6524,       1646,        35
  237,         15760,           15533,             39,      2527,         606,         29,         27966,             225,             73,     6534,       1649,        36
  238,         15811,           15583,             38,      2498,         608,         26,         28203,             227,             81,     6561,       1655,        35
  239,         16049,           15821,             38,      2831,         632,         27,         28441,             231,             76,     6624,       1673,        38
  240,         16220,           15991,             39,      2647,         609,         32,         28680,             231,            250,     6613,       1667,        33
  241,         16440,           16210,             33,      2686,         630,         24,         28920,             234,             75,     6698,       1690,        31
  242,         16528,           16297,             34,      2525,         619,         25,         29161,             237,             75,     6705,       1691,       307
  243,         16615,           16383,             38,      2620,         640,         31,         29403,             237,            323,     6745,       1703,        38
  244,         16725,           16492,             38,      2584,         636,         28,         29646,             238,             81,     6772,       1708,        36
  245,         16808,           16574,             38,      2643,         660,         27,         29890,             240,             83,     6805,       1718,        37
  246,         16825,           16590,             37,      2989,         632,         30,         30135,             242,             84,     6846,       1730,        37
  247,         16831,           16595,             37,      2853,         638,         28,         30381,             241,             83,     6885,       1743,        38
  248,         16947,           16710,             39,      2738,         630,         35,         30628,             242,             82,     6900,       1742,        37
  249,         17130,           16892,             39,      2867,         647,         32,         30876,             246,             83,     6952,       1758,        37
  250,         17284,           17045,             39,      2874,         650,         27,         31125,             245,             86,     6991,       1767,        38
  251,         17293,           17053,             39,      2863,         674,         28,         31375,             245,             86,     7045,       1783,        38
  252,         17484,           17243,             39,      2680,         672,         30,         31626,             245,             88,     7044,       1777,        38
  253,         17496,           17254,             39,      2863,         667,         27,         31878,             250,            380,     7076,       1786,        43
  254,         17626,           17383,             41,      2722,         656,         37,         32131,             245,             84,     7087,       1787,        38
  255,         17816,           17572,             94,      2721,         693,         32,         32385,             246,             99,     7146,       1804,        40
  256,         18030,           17785,             41,      2745,         698,         41,         32640,             251,             86,     7180,       1811,        40
  257,         18097,           17851,             39,      2753,         672,         23,         32896,             253,             84,     7228,       1825,        36
  258,         18322,           18075,             41,      2791,         697,         38,         33153,             251,             87,     7260,       1833,        41
  259,         18453,           18205,             40,      2770,         692,         70,         33411,             255,             89,     7306,       1843,        40
  260,         18483,           18234,             52,      2896,         698,         55,         33670,             256,            113,     7331,       1852,        42
  261,         18487,           18237,             45,      2988,         679,         31,         33930,             257,             92,     7365,       1859,        42
  262,         18607,           18356,             43,      3006,         694,         30,         34191,             254,            103,     7400,       1868,        34
