  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 65,          1139,            1079,             91,       485,         136,         13,          2080,              61,            205,     1306,        331,        14
 66,          1190,            1129,            184,       496,         144,         12,          2145,              63,             70,     1326,        335,        15
 67,          1252,            1190,             56,       511,         145,          9,          2211,              64,            116,     1346,        342,        28
 68,          1318,            1255,             91,       535,         143,         13,          2278,              61,            122,     1401,        357,        27
 69,          1382,            1318,             94,       547,         151,         14,          2346,              60,            148,     1418,        360,      1458
 70,          1448,            1383,            122,       580,         160,         15,          2415,              65,            125,     1436,        363,        26
 71,          1502,            1436,             97,       540,         160,         14,          2485,              68,            144,     1465,        370,        12
 72,          1503,            1436,             87,       611,         162,         18,          2556,              68,            125,     1499,        378,        14
 73,          1571,            1503,            102,       592,         165,         15,          2628,              67,            131,     1511,        381,        12
 74,          1616,            1547,            113,       538,         167,         14,          2701,              71,            136,     1536,        389,        13
 75,          1682,            1612,            121,       573,         167,         16,          2775,              70,            144,     1582,        402,        14
 76,          1706,            1635,            115,       661,         172,         16,          2850,              73,            156,     1599,        407,        14
 77,          1710,            1638,            113,       664,         171,         16,          2926,              74,            149,     1631,        414,        14
 78,          1746,            1673,            115,       646,         175,         20,          3003,              73,            267,     1650,        419,        20
 79,          1814,            1740,            163,       655,         180,         17,          3081,              74,            206,     1685,        426,       105
 80,          1819,            1744,            136,       675,         181,         18,          3160,              74,            158,     1710,        434,        12
 81,          1859,            1783,            151,       667,         182,         16,          3240,              79,            108,     1737,        439,        12
 82,          1882,            1805,             79,       685,         185,         12,          3321,              79,             47,     1777,        451,         9
 83,          1933,            1855,             81,       649,         195,          9,          3403,              79,             37,     1780,        449,         9
 84,          1938,            1859,             80,       749,         191,         10,          3486,              79,             29,     1817,        461,         9
 85,          1983,            1903,             82,       678,         190,         10,          3570,              79,             89,     1859,        473,         9
 86,          2010,            1929,             88,       708,         195,         16,          3655,              81,             30,     1865,        471,         9
 87,          2055,            1973,             85,       704,         194,         11,          3741,              83,            132,     1916,        485,        10
 88,          2094,            2011,             88,       756,         201,         10,          3828,              85,             31,     1938,        493,        11
 89,          2130,            2046,             88,       756,         207,         10,          3916,              84,             60,     1959,        496,        10
 90,          2185,            2100,             91,       773,         205,         10,          4005,              87,             32,     2000,        508,        11
 91,          2198,            2112,             90,       823,         202,         12,          4095,              85,             60,     2022,        512,        10
 92,          2212,            2125,            240,       829,         201,         18,          4186,              88,             53,     2055,        521,        36
 93,          2255,            2167,            401,       734,         215,         29,          4278,              88,            147,     2065,        523,        17
 94,          2295,            2206,            146,       768,         224,         19,          4371,              89,             68,     2098,        530,        31
 95,          2303,            2213,            160,       855,         229,         20,          4465,              92,            153,     2132,        539,        14
 96,          2379,            2288,            163,       817,         222,         22,          4560,              93,             73,     2159,        546,        19
 97,          2421,            2329,            287,       783,         226,         13,          4656,              92,            102,     2197,        557,        13
 98,          2517,            2424,            107,       845,         239,         12,          4753,              90,             42,     2225,        564,        27
 99,          2602,            2508,            107,       878,         234,         13,          4851,              94,             88,     2251,        570,        11
100,          2664,            2569,            110,       832,         233,         11,          4950,              97,             85,     2275,        577,        11
